"fila","decil","tamanio_localidad","marginacion","n","gasto_prom","ingreso_prom","rubro","prop_ingreso"
"35","2","Menos de 2500","Alto",410,3405.97709985842,10940.1713138121,"ALIMENTOS",0.31132758365112
"36","2","Menos de 2500","Muy alto",255,2735.64076905291,10904.5170574151,"ALIMENTOS",0.250872253640307
"37","3","100 mil o más","Muy bajo",937,4403.71825320563,14910.6500758462,"ALIMENTOS",0.295340460060773
"38","3","100 mil o más","Bajo",87,4322.61243513086,14774.1055666619,"ALIMENTOS",0.292580313280347
"39","3","100 mil o más","Medio",58,4747.62610733981,14919.4526612513,"ALIMENTOS",0.318217176939092
"40","3","De 15 mil a 100 mil","Muy bajo",156,4364.19883187778,14918.3825600534,"ALIMENTOS",0.292538337471227
"41","3","De 15 mil a 100 mil","Bajo",150,4777.13854668534,14959.9281198251,"ALIMENTOS",0.319328977279952
"42","3","De 15 mil a 100 mil","Medio",105,4989.04497165908,14860.157003881,"ALIMENTOS",0.335732991943228
"43","3","De 15 mil a 100 mil","Alto",80,4971.14618793103,15035.2717049243,"ALIMENTOS",0.330632281577119
"44","3","De 15 mil a 100 mil","Muy alto",11,4543.44170033694,15167.0942071197,"ALIMENTOS",0.299559140221082
"45","3","De 2500 a 15 mil","Muy bajo",51,4781.93956582022,15048.141404043,"ALIMENTOS",0.31777609190564
"46","3","De 2500 a 15 mil","Bajo",90,4684.24725103256,14910.5774570967,"ALIMENTOS",0.314155991913182
"47","3","De 2500 a 15 mil","Medio",110,5138.61267626012,15150.2169929536,"ALIMENTOS",0.339177496840482
"48","3","De 2500 a 15 mil","Alto",145,4783.41982793719,14858.9647095984,"ALIMENTOS",0.321921474438071
"49","3","De 2500 a 15 mil","Muy alto",31,4467.80842217649,14817.5046621813,"ALIMENTOS",0.301522322687684
"50","3","Menos de 2500","Muy bajo",89,3826.140966999,14834.7904107529,"ALIMENTOS",0.257916752516143
"51","3","Menos de 2500","Bajo",125,3657.67592110228,14803.6316419215,"ALIMENTOS",0.247079636239011
"52","3","Menos de 2500","Medio",222,4208.5070068548,14736.6209665568,"ALIMENTOS",0.285581546570654
"53","3","Menos de 2500","Alto",260,3971.47512645938,14669.2680727298,"ALIMENTOS",0.270734375210059
"54","3","Menos de 2500","Muy alto",132,3269.76944526856,14671.9221088686,"ALIMENTOS",0.222858969738676
"55","4","100 mil o más","Muy bajo",1075,5245.60296991735,18739.8613218548,"ALIMENTOS",0.279916851028125
"56","4","100 mil o más","Bajo",105,5130.17950927857,18811.6044584986,"ALIMENTOS",0.272713554050988
"57","4","100 mil o más","Medio",40,5511.15826519984,18721.4658619134,"ALIMENTOS",0.294376428953229
"58","4","De 15 mil a 100 mil","Muy bajo",173,5092.85086419992,18737.0497043727,"ALIMENTOS",0.271806444693979
"59","4","De 15 mil a 100 mil","Bajo",185,5554.36785598769,18609.2773386727,"ALIMENTOS",0.298473054858768
"60","4","De 15 mil a 100 mil","Medio",102,5673.6733831893,18782.7978122765,"ALIMENTOS",0.302067532211893
"61","4","De 15 mil a 100 mil","Alto",102,5741.29583729746,18705.0980062611,"ALIMENTOS",0.306937490270069
"62","4","De 15 mil a 100 mil","Muy alto",8,4858.55549664813,18491.9747325103,"ALIMENTOS",0.262738596982096
"63","4","De 2500 a 15 mil","Muy bajo",61,5689.94661251489,18511.9156651859,"ALIMENTOS",0.307366709930273
"64","4","De 2500 a 15 mil","Bajo",107,5553.34034796812,18773.2090874119,"ALIMENTOS",0.295811990486583
"65","4","De 2500 a 15 mil","Medio",99,5958.54844405718,18619.7053240269,"ALIMENTOS",0.320013036745982
"66","4","De 2500 a 15 mil","Alto",111,5632.99763248878,18609.4557312925,"ALIMENTOS",0.302695452990421
"67","4","De 2500 a 15 mil","Muy alto",27,4871.51931526215,18902.9050481899,"ALIMENTOS",0.257712732664264
"68","4","Menos de 2500","Muy bajo",77,4451.0099982519,19047.4487443694,"ALIMENTOS",0.233680114223573
"69","4","Menos de 2500","Bajo",130,4239.48593120782,18759.2368776674,"ALIMENTOS",0.225994583833785
"70","4","Menos de 2500","Medio",160,4771.07386200861,18782.3253492993,"ALIMENTOS",0.254019338568565
"71","4","Menos de 2500","Alto",168,4572.42310826085,18884.6961118706,"ALIMENTOS",0.242123202892669
"72","4","Menos de 2500","Muy alto",90,3485.62379999735,18492.3561804703,"ALIMENTOS",0.188489977479371
"73","5","100 mil o más","Muy bajo",1218,5754.82973560258,22878.47655914,"ALIMENTOS",0.251539027116887
"74","5","100 mil o más","Bajo",114,6141.95348506393,22993.9451560455,"ALIMENTOS",0.267111774138032
"75","5","100 mil o más","Medio",39,5712.76249036647,22913.7135460674,"ALIMENTOS",0.249316309156136
"76","5","De 15 mil a 100 mil","Muy bajo",177,5333.90670087997,22979.8457172511,"ALIMENTOS",0.232112380844915
"77","5","De 15 mil a 100 mil","Bajo",155,6348.27883484295,22725.0001591237,"ALIMENTOS",0.279352201997421
"78","5","De 15 mil a 100 mil","Medio",111,5614.5507319787,22865.3593403675,"ALIMENTOS",0.245548326986777
"79","5","De 15 mil a 100 mil","Alto",65,5868.93345976746,23237.2771017125,"ALIMENTOS",0.252565454811181
"80","5","De 15 mil a 100 mil","Muy alto",9,5307.8593933172,22842.9040976059,"ALIMENTOS",0.232363598368979
"81","5","De 2500 a 15 mil","Muy bajo",61,5926.65017801851,22953.2131125139,"ALIMENTOS",0.258205687760001
"82","5","De 2500 a 15 mil","Bajo",75,6312.36774492097,22992.1086753979,"ALIMENTOS",0.274544968190558
"83","5","De 2500 a 15 mil","Medio",77,5864.18685195424,23041.0946056033,"ALIMENTOS",0.254509907290956
"84","5","De 2500 a 15 mil","Alto",78,5726.71373915826,23000.8360262877,"ALIMENTOS",0.248978503764523
"85","5","De 2500 a 15 mil","Muy alto",17,5292.89546600307,22546.3276996424,"ALIMENTOS",0.234756432910669
"86","5","Menos de 2500","Muy bajo",86,4748.52638274249,23091.2663493191,"ALIMENTOS",0.205641661696156
"87","5","Menos de 2500","Bajo",87,4935.71850304255,22846.8497170179,"ALIMENTOS",0.216034970430347
"88","5","Menos de 2500","Medio",124,4809.30863526676,22677.4680279826,"ALIMENTOS",0.212074321054378
"89","5","Menos de 2500","Alto",139,4761.14600971266,22738.3568663145,"ALIMENTOS",0.209388305307408
"90","5","Menos de 2500","Muy alto",54,3878.90000178803,23182.0056755073,"ALIMENTOS",0.16732374480808
"91","6","100 mil o más","Muy bajo",1331,6598.39239895024,27862.3213204827,"ALIMENTOS",0.236821344605609
